"Town.Library","Town"
"New Britain","New Britain"
"New Canaan","New Canaan"
"New Fairfield","New Fairfield"
"New Hartford - Bakerville","New Hartford"
"New Hartford-Bakerville","New Hartford"
"New Hartford-Licia M.B.","New Hartford"
"New Haven","New Haven"
"New London","New London"
"New Milford","New Milford"
"Newington - Lucy Welles","Newington"
"Newtown - Cyr.Booth","Newtown"
"Norfolk","Norfolk"
"North Branford","North Branford"
"North Canaan - Douglas","North Canaan"
"North Haven","North Haven"
"North Stonington - Wheeler","North Stonington"
"North Stonington-Wheeler","North Stonington"
"Norwalk","Norwalk"
"Norwalk - East","Norwalk"
"Norwalk - Rowayton","Norwalk"
"Norwich - Otis","Norwich"
"Old Lyme - Phoebe","Old Lyme"
"Old Saybrook - Acton","Old Saybrook"
"Orange - Case","Orange"
"Oxford","Oxford"
"Plainfield - Aldrich","Plainfield"
"Plainfield - Central Village","Plainfield"
"Plainville","Plainville"
"Plymouth - Terryville","Plymouth"
"Plymouth, Library Assn.","Plymouth"
"Pomfret","Pomfret"
"Pomfret - Abington","Pomfret"
"Portland","Portland"
"Preston","Preston"
"Prospect","Prospect"
"Putnam","Putnam"
"Redding - Mark Twain","Redding"
"Ridgefield","Ridgefield"
"Rocky Hill-Cora Belden","Rocky Hill"
"Roxbury - Minor","Roxbury"
"Salem","Salem"
"Salisbury - Scoville","Salisbury"
"Scotland","Scotland"
"Seymour","Seymour"
"Sharon - Hotchkiss","Sharon"
"Shelton - Plumb","Shelton"
"Sherman","Sherman"
"Simsbury","Simsbury"
"Somers","Somers"
"South Windsor","South Windsor"
"South Windsor, Wood","South Windsor"
"Southbury","Southbury"
"Southington","Southington"
"Sprague","Sprague"
"Stafford","Stafford"
"Stamford - Ferguson","Stamford"
"Sterling","Sterling"
"Stonington","Stonington"
"Stratford","Stratford"
"Suffield - Kent","Suffield"
"Thomaston","Thomaston"
"Thompson","Thompson"
"Tolland","Tolland"
"Torrington","Torrington"
"Trumbull","Trumbull"
"Union","Union"
"Vernon - Rockville","Vernon"
"Voluntown","Voluntown"
"Wallingford","Wallingford"
"Warren","Warren"
"Washington - Gunn","Washington"
"Waterbury - Silas Bron.","Waterbury"
"Waterford","Waterford"
"Watertown","Watertown"
"West Hartford","West Hartford"
"West Haven","West Haven"
"Westbrook","Westbrook"
"Weston","Weston"
"Westport","Westport"
"Wethersfield","Wethersfield"
"Willington","Willington"
"Wilton","Wilton"
"Winchester - Beardsley","Winchester"
"Windham - Guilford Sm","Windham"
"Windham - Willimantic","Windham"
"Windham - Windham Free","Windham"
"Windsor","Windsor"
"Windsor Locks","Windsor Locks"
"Wolcott","Wolcott"
"Woodbridge","Woodbridge"
"Woodbury","Woodbury"
"Woodstock - Bracken","Woodstock"
"Woodstock - May","Woodstock"
"Woodstock - North","Woodstock"
"Woodstock - West","Woodstock"
